feature,communality,uniqueness
tBA-m-X,0.182,0.818
tBA-m-Y,0.076,0.924
tBA-m-Z,0.169,0.831
tGravA-m-X,0.834,0.166
tGravA-m-Y,0.725,0.275
tGravA-m-Z,0.559,0.441
tBAJ-m-X,0.244,0.756
tBAJ-m-Y,0.326,0.674
tBAJ-m-Z,0.175,0.825
tBG-m-X,0.835,0.165
tBG-m-Y,0.647,0.353
tBG-m-Z,0.129,0.871
tBGJ-m-X,0.121,0.879
tBGJ-m-Y,0.194,0.806
tBGJ-m-Z,0.045,0.955
tBAMg-m,0.975,0.025
tGravAMg-m,0.975,0.025
tBAJMg-m,0.983,0.017
tBGMg-m,0.926,0.074
tBGJMg-m,0.972,0.028
fBA-m-X,0.971,0.029
fBA-m-Y,0.959,0.041
fBA-m-Z,0.926,0.074
fBAJ-m-X,0.962,0.038
fBAJ-m-Y,0.941,0.059
fBAJ-m-Z,0.932,0.068
fBG-m-X,0.906,0.094
fBG-m-Y,0.968,0.032
fBG-m-Z,0.928,0.072
fBAMg-m,0.963,0.037
fBBAJMg-m,0.97,0.03
fBBGMg-m,0.953,0.047
fBBGJMg-m,0.952,0.048
