PC,eigenvalue,var_explained,cumulative
1,17.5328,0.5312,0.5312
2,1.9125,0.0579,0.5892
3,1.7826,0.054,0.6432
4,1.5646,0.0474,0.6906
5,1.5074,0.0457,0.7363
6,1.119,0.0339,0.7702
7,0.9772,0.0296,0.7998
8,0.9466,0.0287,0.8285
9,0.9016,0.0273,0.8558
10,0.7905,0.024,0.8798
11,0.6835,0.0207,0.9005
12,0.666,0.0202,0.9206
13,0.6094,0.0185,0.9391
14,0.4889,0.0148,0.9539
15,0.3436,0.0104,0.9643
16,0.243,0.0074,0.9717
17,0.2312,0.007,0.9787
18,0.1684,0.0051,0.9838
19,0.1588,0.0048,0.9886
20,0.0972,0.0029,0.9916
21,0.0778,0.0024,0.9939
22,0.0545,0.0017,0.9956
23,0.039,0.0012,0.9968
24,0.0339,0.001,0.9978
25,0.0166,0.0005,0.9983
26,0.0133,0.0004,0.9987
27,0.0116,0.0004,0.999
28,0.0096,0.0003,0.9993
29,0.0081,0.0002,0.9996
30,0.0073,0.0002,0.9998
31,0.0049,0.0001,0.9999
32,0.002,0.0001,1.0
33,0.0,0.0,1.0
